Barcode;ItemDescription;Category;Brand;ColorDescription;Size;ImageUrl
197627912660;SOLA GLOW SANDAL;Ayakkabı;Skechers;Açık Mavi/ Lavanta;10.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303024l-lblv/01_1.jpg
197627912677;SOLA GLOW SANDAL;Ayakkabı;Skechers;Açık Mavi/ Lavanta;11.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303024l-lblv/01_1.jpg
197976324176;TWİ-LİTES 2.0 - FLYİNG LOVE;Ayakkabı;Skechers;Açık Mavi/Çoklu;12.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/314393L-LBMT/01.jpg
198376663193;ETERNAL HEART LIGHTS;Ayakkabı;Skechers;Açık Mavi/Çoklu;11.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/302696l-lbmt/01_1.jpg
198376605308;RAINBOW CRUISERS RAINBOW REFLECTIN;Ayakkabı;Skechers;Açık Mavi/Çoklu;13;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303722l-lbmt/01.jpg
198376605254;RAINBOW CRUISERS RAINBOW REFLECTIN;Ayakkabı;Skechers;Açık Mavi/Çoklu;10.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303722l-lbmt/01.jpg
198376605315;RAINBOW CRUISERS RAINBOW REFLECTIN;Ayakkabı;Skechers;Açık Mavi/Çoklu;13.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303722l-lbmt/01.jpg
197976584327;D'LİTES - POPULAR VOTE;Ayakkabı;Skechers;Açık Mavi/Çoklu;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150241-LBMT/01.jpg
196989578644;MY DREAMERS;Ayakkabı;Skechers;Açık Mavi/Çoklu;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303157N-LBMT/01_1.jpg
198376663254;ETERNAL HEART LIGHTS;Ayakkabı;Skechers;Açık Mavi/Çoklu;1.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/302696l-lbmt/01_1.jpg
198376605292;RAINBOW CRUISERS RAINBOW REFLECTIN;Ayakkabı;Skechers;Açık Mavi/Çoklu;12.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303722l-lbmt/01.jpg
198376663278;ETERNAL HEART LIGHTS;Ayakkabı;Skechers;Açık Mavi/Çoklu;2.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/302696l-lbmt/01_1.jpg
196989578613;MY DREAMERS;Ayakkabı;Skechers;Açık Mavi/Çoklu;7;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303157N-LBMT/01_1.jpg
197976324152;TWİ-LİTES 2.0 - FLYİNG LOVE;Ayakkabı;Skechers;Açık Mavi/Çoklu;11.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/314393L-LBMT/01.jpg
197976324183;TWİ-LİTES 2.0 - FLYİNG LOVE;Ayakkabı;Skechers;Açık Mavi/Çoklu;13;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/314393L-LBMT/01.jpg
198376605353;RAINBOW CRUISERS RAINBOW REFLECTIN;Ayakkabı;Skechers;Açık Mavi/Çoklu;2.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303722l-lbmt/01.jpg
198376605278;RAINBOW CRUISERS RAINBOW REFLECTIN;Ayakkabı;Skechers;Açık Mavi/Çoklu;11.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303722l-lbmt/01.jpg
198376605360;RAINBOW CRUISERS RAINBOW REFLECTIN;Ayakkabı;Skechers;Açık Mavi/Çoklu;3;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303722l-lbmt/01.jpg
198376605339;RAINBOW CRUISERS RAINBOW REFLECTIN;Ayakkabı;Skechers;Açık Mavi/Çoklu;1.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303722l-lbmt/01.jpg
198376663179;ETERNAL HEART LIGHTS;Ayakkabı;Skechers;Açık Mavi/Çoklu;10.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/302696l-lbmt/01_1.jpg
198376605322;RAINBOW CRUISERS RAINBOW REFLECTIN;Ayakkabı;Skechers;Açık Mavi/Çoklu;1;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303722l-lbmt/01.jpg
196989578620;MY DREAMERS;Ayakkabı;Skechers;Açık Mavi/Çoklu;8;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303157N-LBMT/01_1.jpg
197976067462;GO RUN CONSISTENT 2.0;Ayakkabı;Skechers;Açık Mavi / Lacivert;11.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303926l-lbnv/01.jpg
198739009750;HILLCREST 2.0;Ayakkabı;Skechers;Açık Gri/Mavi;9;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/180009-lgbl/01.jpg
198739009743;HILLCREST 2.0;Ayakkabı;Skechers;Açık Gri/Mavi;8.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/180009-lgbl/01.jpg
197627588018;SLIP-INS RF: D'LUX WALKER 2.0;Ayakkabı;Skechers;Açık Gri/Lavanta;8.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150099-lglv/1.jpg
198376038922;D'LUX WALKER 2.0 - RAİN CHECK;Ayakkabı;Skechers;Açık Gri/Çok renkli;6.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150089-LGMT/150089-LGMT-72-0.jpg
198739014198;SKECH CLOUD-PERFECTLY PLUSH;Ayakkabı;Skechers;Açık Gri/Çok renkli;7.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150560-lgmt/01.jpg
198739014242;SKECH CLOUD-PERFECTLY PLUSH;Ayakkabı;Skechers;Açık Gri/Çok renkli;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150560-lgmt/01.jpg
198376039004;D'LUX WALKER 2.0 - RAİN CHECK;Ayakkabı;Skechers;Açık Gri/Çok renkli;11;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150089-LGMT/150089-LGMT-72-0.jpg
